Ticker,TotalTime,logDate,logTime,priceOpen,priceHigh,priceLow,priceClose,amount
BTCUSDT,201809022000,20180902,2000,7283.83,7287.48,7214.41,7232.0,2707.640166
BTCUSDT,201809022100,20180902,2100,7230.75,7271.14,7228.55,7259.83,1229.91481
BTCUSDT,201809022200,20180902,2200,7259.82,7260.0,7174.47,7190.71,1857.781698
BTCUSDT,201809022300,20180902,2300,7188.39,7237.54,7187.0,7237.53,1657.261459
BTCUSDT,201809030000,20180903,0,7235.84,7249.95,7211.98,7214.24,1510.154774
BTCUSDT,201809030100,20180903,100,7214.24,7289.0,7189.29,7274.99,2402.40495
BTCUSDT,201809030200,20180903,200,7274.99,7316.08,7263.01,7298.39,1815.510419
BTCUSDT,201809030300,20180903,300,7298.38,7323.0,7237.06,7308.84,1491.879931
BTCUSDT,201809030400,20180903,400,7311.69,7333.33,7279.03,7310.26,1547.219171
BTCUSDT,201809030500,20180903,500,7310.36,7312.87,7263.0,7284.13,1357.846622
BTCUSDT,201809030600,20180903,600,7284.1,7309.0,7274.85,7282.94,944.986857
BTCUSDT,201809030700,20180903,700,7282.93,7296.0,7265.0,7281.54,1027.236846
BTCUSDT,201809030800,20180903,800,7281.5,7313.23,7272.67,7302.01,1138.274979
BTCUSDT,201809030900,20180903,900,7302.0,7325.0,7267.2,7282.3,1216.441694
BTCUSDT,201809031000,20180903,1000,7282.3,7282.63,7248.0,7271.64,1342.622607
BTCUSDT,201809031100,20180903,1100,7271.64,7283.0,7246.02,7281.21,1200.836891
BTCUSDT,201809031200,20180903,1200,7282.99,7292.0,7257.87,7263.02,984.705046
BTCUSDT,201809031300,20180903,1300,7263.48,7264.04,7191.63,7210.46,2070.882965
BTCUSDT,201809031400,20180903,1400,7210.46,7230.01,7207.26,7225.0,407.456562
BTCUSDT,201809031500,20180903,1500,7225.02,7260.0,7213.25,7257.43,1556.705859
BTCUSDT,201809031600,20180903,1600,7257.43,7260.0,7233.1,7253.01,1040.144435
BTCUSDT,201809031700,20180903,1700,7253.01,7275.0,7241.3,7250.22,1367.737829
BTCUSDT,201809031800,20180903,1800,7251.93,7252.0,7213.53,7224.11,1251.029745
BTCUSDT,201809031900,20180903,1900,7224.14,7245.43,7214.64,7240.52,1371.729002
BTCUSDT,201809032000,20180903,2000,7240.01,7245.01,7219.78,7226.6,1536.015396
BTCUSDT,201809032100,20180903,2100,7226.6,7267.0,7225.0,7254.53,1727.037943
BTCUSDT,201809032200,20180903,2200,7253.03,7308.0,7250.5,7286.01,2022.74503
BTCUSDT,201809032300,20180903,2300,7286.01,7296.94,7256.34,7291.6,961.027885
BTCUSDT,201809040000,20180904,0,7290.09,7298.0,7273.62,7288.02,1209.014199
BTCUSDT,201809040100,20180904,100,7288.14,7293.91,7254.0,7263.04,1548.848691
BTCUSDT,201809040200,20180904,200,7263.02,7297.0,7257.03,7286.01,1193.572315
BTCUSDT,201809040300,20180904,300,7286.0,7290.9,7270.0,7284.35,1109.38567
BTCUSDT,201809040400,20180904,400,7284.36,7338.28,7271.0,7316.19,2069.24207
BTCUSDT,201809040500,20180904,500,7316.95,7320.0,7280.0,7305.3,1257.600865
BTCUSDT,201809040600,20180904,600,7305.35,7320.0,7292.18,7320.0,1072.404306
BTCUSDT,201809040700,20180904,700,7320.0,7337.54,7255.0,7260.35,1553.951356
BTCUSDT,201809040800,20180904,800,7260.29,7279.0,7225.89,7263.02,1324.88001
BTCUSDT,201809040900,20180904,900,7263.0,7277.0,7252.35,7270.03,1360.619043
BTCUSDT,201809041000,20180904,1000,7270.62,7292.0,7270.01,7284.28,1688.856144
BTCUSDT,201809041100,20180904,1100,7284.23,7297.09,7276.0,7280.3,458.693739
BTCUSDT,201809041200,20180904,1200,7280.59,7285.49,7271.0,7272.05,569.423592
BTCUSDT,201809041300,20180904,1300,7272.19,7280.58,7227.17,7268.58,1475.432333
